year,constructorRef,driverId,surname,points
2008,mclaren,1,Hamilton,10.0
2008,bmw_sauber,2,Heidfeld,8.0
2008,williams,3,Rosberg,6.0
2008,renault,4,Alonso,5.0
2008,mclaren,5,Kovalainen,4.0
2008,williams,6,Nakajima,3.0
2008,toro_rosso,7,Bourdais,2.0
2008,ferrari,8,Räikkönen,1.0
2008,bmw_sauber,9,Kubica,0.0
2008,toyota,10,Glock,0.0
2008,super_aguri,11,Sato,0.0
2008,renault,12,Piquet Jr.,0.0
2008,ferrari,13,Massa,0.0
2008,red_bull,14,Coulthard,0.0
2008,toyota,15,Trulli,0.0
2008,force_india,16,Sutil,0.0
2008,red_bull,17,Webber,0.0
2008,honda,18,Button,0.0
2008,super_aguri,19,Davidson,0.0
2008,toro_rosso,20,Vettel,0.0
2008,force_india,21,Fisichella,0.0
2008,honda,22,Barrichello,0.0
2008,ferrari,8,Räikkönen,10.0
2008,bmw_sauber,9,Kubica,8.0
2008,mclaren,5,Kovalainen,6.0
2008,toyota,15,Trulli,5.0
2008,mclaren,1,Hamilton,4.0
2008,bmw_sauber,2,Heidfeld,3.0
2008,red_bull,17,Webber,2.0
2008,renault,4,Alonso,1.0
2008,red_bull,14,Coulthard,0.0
2008,honda,18,Button,0.0
2008,renault,12,Piquet Jr.,0.0
2008,force_india,21,Fisichella,0.0
2008,honda,22,Barrichello,0.0
2008,williams,3,Rosberg,0.0
2008,super_aguri,19,Davidson,0.0
2008,super_aguri,11,Sato,0.0
2008,williams,6,Nakajima,0.0
2008,toro_rosso,20,Vettel,0.0
2008,ferrari,13,Massa,0.0
2008,force_india,16,Sutil,0.0
2008,toyota,10,Glock,0.0
2008,toro_rosso,7,Bourdais,0.0
2008,ferrari,13,Massa,10.0
2008,ferrari,8,Räikkönen,8.0
2008,bmw_sauber,9,Kubica,6.0
2008,bmw_sauber,2,Heidfeld,5.0
2008,mclaren,5,Kovalainen,4.0
2008,toyota,15,Trulli,3.0
2008,red_bull,17,Webber,2.0
2008,williams,3,Rosberg,1.0
2008,toyota,10,Glock,0.0
2008,renault,4,Alonso,0.0
2008,honda,22,Barrichello,0.0
2008,force_india,21,Fisichella,0.0
2008,mclaren,1,Hamilton,0.0
2008,williams,6,Nakajima,0.0
2008,toro_rosso,7,Bourdais,0.0
2008,super_aguri,19,Davidson,0.0
2008,super_aguri,11,Sato,0.0
2008,red_bull,14,Coulthard,0.0
2008,force_india,16,Sutil,0.0
2008,renault,12,Piquet Jr.,0.0
