congress,bill_number,bill_type,bill_subject
116,81,hconres,Appropriations
116,81,hconres,Legislative rules and procedure
116,83,hconres,Conflicts and wars
116,83,hconres,Congressional oversight
116,83,hconres,Iran
116,83,hconres,Middle East
116,83,hconres,Military operations and strategy
116,83,hconres,"Presidents and presidential powers, Vice Presidents"
116,83,hconres,War and emergency powers
116,105,hconres,Cemeteries and funerals
116,105,hconres,Congressional tributes
116,105,hconres,Georgia
116,105,hconres,House of Representatives
116,105,hconres,Members of Congress
116,105,hconres,U.S. Capitol
116,16,hconres,Commemorative events and holidays
116,16,hconres,Law enforcement officers
116,16,hconres,"Museums, exhibitions, cultural centers"
116,16,hconres,U.S. Capitol
116,106,hconres,Cemeteries and funerals
116,106,hconres,Congressional tributes
116,106,hconres,Georgia
116,106,hconres,House of Representatives
116,106,hconres,Members of Congress
116,106,hconres,U.S. Capitol
116,1,hconres,Congressional operations and organization
116,53,hconres,Commemorative events and holidays
116,53,hconres,Racial and ethnic relations
116,53,hconres,U.S. Capitol
116,53,hconres,U.S. history
116,45,hconres,Appropriations
116,45,hconres,Legislative rules and procedure
116,82,hconres,Appropriations
116,82,hconres,Legislative rules and procedure
116,92,hconres,Books and print media
116,92,hconres,Government information and archives
116,92,hconres,House Committee on House Administration
116,92,hconres,House of Representatives
116,92,hconres,Members of Congress
116,92,hconres,U.S. history
116,107,hconres,"Elections, voting, political campaign regulation"
116,107,hconres,Legislative rules and procedure
116,107,hconres,Voting rights
116,127,hconres,Legislative rules and procedure
116,91,hconres,Asia
116,91,hconres,China
116,91,hconres,Conflicts and wars
116,91,hconres,Congressional tributes
116,91,hconres,Military history
116,91,hconres,Racial and ethnic relations
116,91,hconres,U.S. Capitol
116,91,hconres,Veterans' organizations and recognition
116,57,hconres,Commemorative events and holidays
116,57,hconres,Racial and ethnic relations
116,57,hconres,U.S. Capitol
116,57,hconres,U.S. history
116,32,hconres,"Criminal investigation, prosecution, interrogation"
116,32,hconres,"Diplomacy, foreign officials, Americans abroad"
116,32,hconres,Europe
116,32,hconres,Serbia
116,32,hconres,Violent crime
116,32,hconres,"War crimes, genocide, crimes against humanity"
116,24,hconres,Congressional oversight
116,24,hconres,"Criminal investigation, prosecution, interrogation"
116,24,hconres,Criminal justice information and records
116,24,hconres,Department of Justice
116,24,hconres,"Elections, voting, political campaign regulation"
116,24,hconres,Federal officials
116,24,hconres,"Government ethics and transparency, public corruption"
116,24,hconres,Government information and archives
116,24,hconres,"Presidents and presidential powers, Vice Presidents"
116,24,hconres,Russia
116,24,hconres,Subversive activities
116,125,hconres,Conflicts and wars
116,125,hconres,Congressional operations and organization
116,125,hconres,Currency
116,125,hconres,Military personnel and dependents
116,125,hconres,"Museums, exhibitions, cultural centers"
116,125,hconres,New York State
116,125,hconres,Veterans' organizations and recognition
116,75,hconres,Appropriations
116,75,hconres,Legislative rules and procedure
116,72,hconres,Currency
116,72,hconres,Legislative rules and procedure
116,72,hconres,Women's rights
116,86,hconres,Congressional operations and organization
116,86,hconres,"Presidents and presidential powers, Vice Presidents"
116,9,hconres,Congressional operations and organization
116,9,hconres,"Presidents and presidential powers, Vice Presidents"
116,21,hconres,Arizona
116,21,hconres,Congressional tributes
116,21,hconres,House of Representatives
116,21,hconres,Legislative rules and procedure
116,21,hconres,Members of Congress
116,21,hconres,Michigan
116,21,hconres,Senate
116,87,hconres,Commemorative events and holidays
116,87,hconres,Crime victims
116,87,hconres,Europe
116,87,hconres,Germany
116,87,hconres,Religion
116,87,hconres,U.S. Capitol
116,87,hconres,"War crimes, genocide, crimes against humanity"
116,19,hconres,Games and hobbies
116,19,hconres,Outdoor recreation
116,19,hconres,U.S. Capitol
116,31,hconres,Commemorative events and holidays
116,31,hconres,Crime victims
116,31,hconres,Europe
116,31,hconres,Germany
116,31,hconres,Religion
116,31,hconres,U.S. Capitol
116,31,hconres,"War crimes, genocide, crimes against humanity"
116,96,hconres,Games and hobbies
116,96,hconres,Outdoor recreation
116,96,hconres,U.S. Capitol
116,40,hconres,Abortion
116,40,hconres,Family planning and birth control
116,40,hconres,Health care costs and insurance
116,40,hconres,Health care coverage and access
116,40,hconres,Health information and medical records
116,40,hconres,Health promotion and preventive care
116,40,hconres,Sex and reproductive health
116,40,hconres,Women's health
116,25,hconres,"Diplomacy, foreign officials, Americans abroad"
116,25,hconres,"Government ethics and transparency, public corruption"
116,25,hconres,Government information and archives
116,25,hconres,"Presidents and presidential powers, Vice Presidents"
116,7,hconres,"Agricultural prices, subsidies, credit"
116,7,hconres,Agricultural trade
116,7,hconres,Congressional oversight
116,7,hconres,Free trade and trade barriers
116,7,hconres,Trade agreements and negotiations
