title,year,rating,review_count,stars,detail_url,storyline,genre1,genre2,genre3,release_date,country_of_origin,platform1,platform2,platform3,production_company
Perfect Love,2023,7.1,-113,"James Liddell, Clara Carlo, Ansley Hutchinson",https://www.imdb.com/title/tt30429530/,"Jewelry designer Ada Prescott's life hits a low point after her boyfriend cheats on her and her sister accuses her of plagiarism. Drunk, Ada accidentally marries Ian, but doesn't know that he is the same man she once saved from death.",Drama,Romance,,"December 10, 2023 (United States)",United States,GoodReels,GoodShort,,24K Onions
Billionaire CEO's Obsession,2023,7.4,-149,"Nick Ritacco, Griffin Blazi, Kyra Wisely",https://www.imdb.com/title/tt29160058/,Naomi who was born with a silver spoon in her mouth ended up poor because she was secretly swapped at birth by a backstabber.,Comedy,Drama,Romance,"August 5, 2023 (United States)",United States,GoodReels,GoodShort,,24K Onions
Love by Contract,2024,7.5,-220,"Rachel Coopes, Noah Fearnley, Preet Kaur",https://www.imdb.com/title/tt30036711/,"Nia's life turns upside down when Leo, a wealthy businessman, selects her to become his wife by contract. Juggling her newfound power and a manipulative half-sister, Nia must figure out what to do when her feelings start to become real.",Comedy,Drama,Romance,"January 26, 2024 (United States)",United States,GoodShort,GoodShort,,Astra Filmworks
Don't Challenge the Lady Billionaire,2024–2025,6.6,-193,"Rosa Singerman, Hunter Kohl, Mason Eaglin",https://www.imdb.com/title/tt33778588/,"A powerful CEO hides her identity for love, dedicating seven years to her boyfriend, Charles, only to be abandoned for profit. Seeking revenge, she enters a flash marriage with his boss, Tristian.",Romance,,,"September 29, 2024 (United States)",United States,GoodShort,,,Journey Entertainment
Will You Be My Love Again?,2024,8.2,-88,"Angela Barber, Les Mahoney, Joanne Zimbler",https://www.imdb.com/title/tt33454816/,"George, the heir to a wealthy family, was saved by Melody when they were children. He gave her a lucky necklace and promised to find her when they grew up and repay the favor.",Drama,,,"September 1, 2024 (United States)",United States,GoodShort,,,GoodShort
Fated Deal with the Mafia King,2024,8,-172,"Brittany Marsicek, Terry Stokes, Jake Hobbs",https://www.imdb.com/title/tt34131792/,"A mysterious man saves Molly's life after her sister and fiancé conspire to kill her. In order to save her mother's company and get revenge, Molly marries the man, who turns out to be the vicious mafia boss, Jack.",Action,Crime,Romance,"October 8, 2024 (United States)",United States,GoodShort,,,Tap Story
Bound to the Bastard Billionaire,2024,8,-65,"Joel Onesto, Lorenzo Brunetti, Quincey Leigh",https://www.imdb.com/title/tt31848367/,"Celine Anderson catches her boyfriend Daniel cheating with her half-sister Bella at a banquet. Seeking revenge, she kisses a stranger, Theodore Kane, who happens to be a major art investor and a billionaire.",Comedy,Romance,,"March 21, 2024 (United States)",United States,GoodShort,,,
Becoming My Ex's Mother-in-Law,2024,7.9,-81,"Alexandria Watts, James Liddell, Shane Palmer",https://www.imdb.com/title/tt32561346/,"After six years in prison for her boyfriend's crime, Crystal is released only to discover that he's engaged to the Governor's daughter. To take back her life, Crystal starts dating the Governor and becoming her ex's mother in-law.",Drama,Romance,,"June 13, 2024 (United States)",United States,,,,Big Pa Pictures
The Alpha's Rejected Mate,2023,6.8,-129,"Faith West, Nick Ritacco, Alex James",https://www.imdb.com/title/tt29666380/,"Young werewolf Mira, who was meant to be the Alpha's mate, becomes a tormented slave after being set up by a jealous rival to kill the Alpha's brother. But the Alpha King arrives to save her, later revealed to be her second chance mate.",Drama,Fantasy,Horror,"November 25, 2023 (United States)",United States,GoodReels,GoodShort,,24K Onions
"Dear Husband, Do You Remember Me?",2024–,8.1,-58,"Addison Bowman, JT Garcia, Andrea Adamson",https://www.imdb.com/title/tt33339567/,"An orphan boy turned Billionaire CEO, Noah Morgan has spent years searching for the girl who once saved his life, never realizing that she's been right by his side all along - as his overlooked contract wife and secretary, Mara.",Romance,,,"September 1, 2024 (United States)",United States,Official site,,,
My Ex Is a Secret Billionaire,2024–,6.5,-11,"Craig Walker, Erin Thomas, EchoPalo",https://www.imdb.com/title/tt30327936/,"Expelled from the elite Turner family, Lucy Turner stages a cheating scandal to save her boyfriend from debt, only to discover years later that he's now a billionaire, her boss, and engaged to her half-sister.",Drama,,,,Australia,,,,Frame Art Studios
"Whirlwind Marriage, Secret Twins",2024,8.5,-74,"Jana Skorpen, Neven Tomic, Mila Rose Boyd",https://www.imdb.com/title/tt34439369/,"Cute Kids to the rescue. Adorable twins, Amy and Caleb, find perfect Mom for their Billionaire CEO Dad to marry in a whim, only to find that she's their long lost biological mom.",Drama,Romance,,"November 1, 2024 (United States)",United States,GoodShort,,,
Destined Redemption,2024,7.2,-126,"Alexa Reddy, Lexy Reddy, Michael S. Brown",https://www.imdb.com/title/tt30826395/,"Bad boy with a heart of gold, Leo, comes into Joyce's life as she is recovering from an abusive relationship with now-incarcerated Harry. Joyce must learn to love again, when Harry's reappearance threatens to upend their relationship.",Drama,Romance,,"January 11, 2024 (United States)",United States,GoodShort,,,24K Onions
Love's U-Turn from a Mistake,2023,8,-54,"Jackson Tiller, Josh Stone, Erin Elle",https://www.imdb.com/title/tt28540853/,"Before a chaotic and mesmerizing party night, Madeline never imagined she would truly end up with Jeremy. After their unexpected marriage, however, they drift further apart.",Romance,,,"July 21, 2023 (United States)",,GoodReels,,,DenimStitch Creative
100% Destined for Your Love,2024,8.7,-63,"Leslie Scarborough, Sam Myerson, Kyra Wisely",https://www.imdb.com/title/tt34691753/,"Nina and Adam are both trying to flee from an arranged marriage tailor-made for them, but by the hand of fate, they end up meeting each other unprompted and making the spur-of-the-moment decision to get hitched. Adam, secretly a billionaire, goes all out to spoil Nina, leading to funny and sweet surprises on a daily basis as he tries to keep his uber-rich true identit... Read all",Romance,,,"July 26, 2024 (United States)",United States,GoodShort,,,Ideali Projects
My Second Husband's a Prince Charming!,2024,8.1,-120,"Darrell Philip, Richard Rivera, Carlos Vega",https://www.imdb.com/title/tt34183867/,"To avenge her disloyal husband and the vicious homewrecker, Ashley gets entangled with a sexy, enigmatic Mr. Big, who harbors special feelings for her.",Romance,,,"October 14, 2024 (United States)",United States,GoodShort,,,Phantom Visual
Echoes of Her Cry,2024,7.7,-22,"Hao Chen, Brittany Marsicek, Sam Schweikert, Kseniya Kareba",https://www.imdb.com/title/tt33434105/,"Emma watches her husband save his childhood sweetheart's daughter over his own in a fire, and sets out on a path of revenge.",Drama,,,"September 1, 2024 (United States)",United States,GoodShort,,,GoodShort
Love as I Remember,2024,8.5,-51,"Jennings Brower, Casey Schryer, Timothy Haug",https://www.imdb.com/title/tt33378984/,"Caught between the stability of Richard and the lingering allure of Cooper, Stella must decide whether to embrace a secure future or rekindle a flame from her past.",Drama,Romance,,"September 16, 2024 (United States)",United States,GoodShort,,,Ideali Projects
An Unreliable Guide on Dating Your CEO,2024,8.2,-85,"Griffin Blazi, Grace Woods Swanson, Jessica Jacoby",https://www.imdb.com/title/tt32869145/,"Lisa pretends to be the governor's daughter to sabotage a date with Alex, hoping he won't marry her. But when Alex becomes her new CEO and still wants to marry, her plan backfires.",Drama,Romance,,"July 11, 2024 (United States)",United States,,,,24K Onions
My Gift-Wrapped Billionaire,2024,7.1,-78,"Kyra Wisely, Jarred Harper, Christine",https://www.imdb.com/title/tt32748896/,"Vanessa stumbles upon amnesiac Daniel in a box believing he's her path to stardom. While evading his unhinged brother, he pretends amnesia to reclaim his firm, yet unexpectedly falls for Vanessa.",Drama,Romance,,"June 27, 2024 (United States)",United States,,,,
My Professor Is My Alpha Mate,2024,7.6,-87,"James Liddell, Alexandria Watts, Justin Slepicoff",https://www.imdb.com/title/tt32421464/,"Lila kisses a stranger to get back at her cheating ex-boyfriend, but it turns out to be Alpha, billionaire, and college Professor, Colton Denizen. The two must keep their relationship secret while uncovering the plot of the Rogue King.",Action,Fantasy,Romance,"May 21, 2024 (United States)",United States,GoodShort,,,Astra Filmworks
My Hockey Alpha,2024,7.4,-85,"Chozy Aiyub, Grace Woods Swanson, Nicolas James Wilson",https://www.imdb.com/title/tt32028414/,"After breaking up with her boyfriend, Nina has a one night stand with the star hockey player Enzo Rivers. Nina swears off of hockey players, but Enzo isn't done with her yet and is hiding a big secret.",Fantasy,Sport,,"April 18, 2024 (United States)",United States,,,,"24K Onions, Storypod Studio"
The Agreement,2024,8.4,-68,"Cypress Bai, M@tch, Ari White, Clara Carlo",https://www.imdb.com/title/tt30796562/,"To save her brother, Valentina is forced to become the wife of the emotionless mafia boss Alessandro. Tina is thrust into a world of violence and deception, but the biggest secret of all is that the Romano family have agreed to kill her.",Action,Crime,Drama,"January 4, 2024 (United States)",United States,GoodShort,,,"24K Onions, Storypod Studio"
My Secret Agent Husband,2024,7.4,-806,"Michael Naizu, Andrei Prunila, Bri Ana Wagner",https://www.imdb.com/title/tt32775546/,"To escape a forced political marriage, CEO's son Lucas fakes a gay marriage with undercover agent Wyatt, who is investigating his company. Their fake relationship turns real as they uncover secrets and face thrilling dangers.",Short,Comedy,Romance,"June 27, 2024 (United States)",United States,DramaBox,,,
My Secret Husband Is My Boss,2024,8.1,-98,"Cosette Hatch, Jake Hobbs, Kirby Ellwood",https://www.imdb.com/title/tt33094787/,"Kate unknowingly marries her boss Jack to secure her inheritance. Years later, when she seeks divorce, she discovers her husband is the man she's fallen for, leaving her to confront an unimaginable situation that could change her life.",Romance,,,"August 10, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
My Secret Husband,2023,8.1,-15,"Angela Barber, Nick Checket, Jessica DeBonville",https://www.imdb.com/title/tt28642075/,"He's an orphan scorned by everyone. Just when he thinks he will spend his entire life like this, he unexpectedly crosses paths with the ""swan"" he have once secretly married.",Comedy,,,"August 7, 2023 (United States)",United States,GoodShort Official Website,the link of this series,,Legacy Pictures (II)
The Double Life of My Secret Husband,2024,7.5,-23,"Allen Williamson, Rieschel Nieboer, Jake Galluccio",https://www.imdb.com/title/tt33526347/,"The story is about how Sophia fake marries a billionaire Harrison who hides his true identity, but ends up falling in love with him over time.",Comedy,,,"September 29, 2024 (United States)",United States,SnackShorts's Youtube,,,Unreal Imagine
My Husband's Secret Wife,2018,4.7,-397,"Tamar Halpern, Helena Mattsson, Josh Kelly, Briana Evigan",https://www.imdb.com/title/tt7708146/,A married woman's life turns upside down when she learns her husband is married to another woman.,Thriller,,,"August 19, 2018 (United States)",United States,,,,Stargazer Films USA
A Love Prescription of Mr. Devil,2023,8.1,-19,"Tyler Johnson Ellis, Thedita Pedersen, Diane Box Worman",https://www.imdb.com/title/tt30089392/,"Jamie and Ethan's relationship is strong, despite Ethan's parent's disapproval, but their happily ever after blows up when Ethan is hit by a car. Desperate to resurrect her love, Jamie uses her witch powers to go back in time and save him.",Fantasy,Romance,,"November 15, 2023 (United States)",United States,GoodShort,,,Legacy Pictures (II)
