title,year,rating,review_count,stars
Perfect Love,2023,7.1,(113),"James Liddell, Clara Carlo, Ansley Hutchinson"
Billionaire CEO's Obsession,2023,7.4,(149),"Nick Ritacco, Griffin Blazi, Kyra Wisely"
Love by Contract,2024,7.5,(220),"Rachel Coopes, Noah Fearnley, Preet Kaur"
Don't Challenge the Lady Billionaire,2024–2025,6.6,(193),"Rosa Singerman, Hunter Kohl, Mason Eaglin"
Will You Be My Love Again?,2024,8.2,(88),"Angela Barber, Les Mahoney, Joanne Zimbler"
Fated Deal with the Mafia King,2024,8.0,(172),"Brittany Marsicek, Terry Stokes, Jake Hobbs"
Bound to the Bastard Billionaire,2024,8.0,(65),"Joel Onesto, Lorenzo Brunetti, Quincey Leigh"
Becoming My Ex's Mother-in-Law,2024,7.9,(81),"Alexandria Watts, James Liddell, Shane Palmer"
The Alpha's Rejected Mate,2023,6.8,(129),"Faith West, Nick Ritacco, Alex James"
"Dear Husband, Do You Remember Me?",2024–,8.1,(58),"Addison Bowman, JT Garcia, Andrea Adamson"
My Ex Is a Secret Billionaire,2024–,6.5,(11),"Craig Walker, Erin Thomas, EchoPalo"
"Whirlwind Marriage, Secret Twins",2024,8.5,(74),"Jana Skorpen, Neven Tomic, Mila Rose Boyd"
Destined Redemption,2024,7.2,(126),"Alexa Reddy, Lexy Reddy, Michael S. Brown"
Love's U-Turn from a Mistake,2023,8.0,(54),"Jackson Tiller, Josh Stone, Erin Elle"
100% Destined for Your Love,2024,8.7,(63),"Leslie Scarborough, Sam Myerson, Kyra Wisely"
My Second Husband's a Prince Charming!,2024,8.1,(120),"Darrell Philip, Richard Rivera, Carlos Vega"
Echoes of Her Cry,2024,7.7,(22),"Hao Chen, Brittany Marsicek, Sam Schweikert, Kseniya Kareba"
Love as I Remember,2024,8.5,(51),"Jennings Brower, Casey Schryer, Timothy Haug"
An Unreliable Guide on Dating Your CEO,2024,8.2,(85),"Griffin Blazi, Grace Woods Swanson, Jessica Jacoby"
My Gift-Wrapped Billionaire,2024,7.1,(78),"Kyra Wisely, Jarred Harper, Christine"
My Professor Is My Alpha Mate,2024,7.6,(87),"James Liddell, Alexandria Watts, Justin Slepicoff"
My Hockey Alpha,2024,7.4,(85),"Chozy Aiyub, Grace Woods Swanson, Nicolas James Wilson"
Billionaire CEO's Obsession,2023,7.4,(149),"Nick Ritacco, Griffin Blazi, Kyra Wisely"
The Alpha's Rejected Mate,2023,6.8,(129),"Faith West, Nick Ritacco, Alex James"
The Agreement,2024,8.4,(68),"Cypress Bai, M@tch, Ari White, Clara Carlo"
Destined Redemption,2024,7.2,(126),"Alexa Reddy, Lexy Reddy, Michael S. Brown"
My Secret Agent Husband,2024,7.4,(806),"Michael Naizu, Andrei Prunila, Bri Ana Wagner"
My Secret Husband Is My Boss,2024,8.1,(98),"Cosette Hatch, Jake Hobbs, Kirby Ellwood"
My Secret Husband,2023,8.1,(15),"Angela Barber, Nick Checket, Jessica DeBonville"
The Double Life of My Secret Husband,2024,7.5,(23),"Allen Williamson, Rieschel Nieboer, Jake Galluccio"
My Husband's Secret Wife,2018,4.7,(397),"Tamar Halpern, Helena Mattsson, Josh Kelly, Briana Evigan"
A Love Prescription of Mr. Devil,2023,8.1,(19),"Tyler Johnson Ellis, Thedita Pedersen, Diane Box Worman"
The Alpha and His Contract Luna,2024,8.0,(42),"Denise Borraz Trepat, Michael Ursu, Chloë Julianne Moore"
Love's U-Turn from a Mistake,2023,8.0,(54),"Jackson Tiller, Josh Stone, Erin Elle"
Alpha of Aberdeen,2023,7.7,(34),"Zora Zou, Maddie Lane, Joe Solana Simon, Jasmine McLeish"
Jailed Bird,2023,5.9,(11),"Kaitlin Sanders, Derek Grauer, Chandni Shah"
Love by Contract,2024,7.5,(220),"Rachel Coopes, Noah Fearnley, Preet Kaur"
Double Contract Love,2024,7.8,(54),"Casey Schryer, Jennings Brower, Jessica Ruth Bell"
Taking Love as a Contract,2024,,,
Forget Me Not: Omega's Return,2023,7.6,(78),"Livia Pillmann, Eric Guilmette, Kyle Fragnoli"
Reincarnated Love: Amy's Revenge,2024,7.2,(17),"Robin Åkerstrand, Katie Kay, Douglas Jung"
Oops! I Married a CEO by Mistake,2024–,8.0,(87),"Kyra Wisely, Ryan Watson Henderson, Sia Kravchenko"
Let Me Go My Queen,2023,7.9,(28),"Ashley Michelle Grant, Kyra Wisely, Felisha Cooper"
"After Divorce, Stripper CEO and I Dominate Hollywood",2024,7.9,(24),"Felix Merback, Lauren Bonham, Brooke Vanderdonck"
CEO's Substitute Wife,2024,7.1,(67),"Sihang 'Annie' Cheng, Kelley Faith Barrett, Faith Barrett"
Love Is a Lullaby,2023,6.7,(8),Anina Net
The Forbidden Love,2023,6.7,(23),"Monroe Cline, Alyssa Corella, Poonam Basu"
Profits Prophecy,2023,7.7,(7),"Josh Stone, Tiffany Chevonne, Jaysin Decora"
An Unreliable Guide on Dating Your CEO,2024,8.2,(85),"Griffin Blazi, Grace Woods Swanson, Jessica Jacoby"
The Alpha and His Contract Luna,2024,8.0,(42),"Denise Borraz Trepat, Michael Ursu, Chloë Julianne Moore"
The Double Life of My Billionaire Husband,2023,6.6,(2.8K),"Avery Lynch, Jarred Harper, Joe Zhang"
The Double Life of a Billionaire Heiress,2024,7.7,(284),"Haley Lohrli, Marc Herrmann, Braxton Angle"
You Belong with Me,2024,8.4,(402),"Emma Hullar, Eric Guilmette, Casie Maghran"
Married at First Sight,2023,7.3,(390),"Autumn Noel, Ariel Yasmine, Chase Lawless"
Recipe for Faking a Marriage,2024,7.8,(124),"Kaitlin Sanders, Jesse Morales, Laura Karoubi"
The Lost Prima Ballerina,2024,7.1,(116),"Neela Jolene, Eli Jane, Christopher Quartuccio"
The Return of My Mafia Husband,2024,7.4,(36),"Sarah Louise Kane, Lennie Ross, Violet Bennett"
"OMG, I'm Surrounded by Princes",2024,7.6,(61),"Seth Edeen, Faith Orta, Molly Flanagan"
"Sit Down, Be Humble",2024,7.4,(67),"Juliet Chevelle, Leif Erik Offerdahl, Skyla Lynne"
"OMG, I Got Married in Vegas!",2024,7.6,(114),"Sarah Noelle, Richard Sharrah, Kyle Colton"
My Sugar-Coated Mafia Boss,2024,7.6,(165),"Marc Herrmann, Bri Ana Wagner, Christine"
The Devil Wears Desire,2024,7.7,(55),"K. Tappan, Hannah Lowery, Neven Tomic"
The Devil Wears Desire,2024,7.7,(55),"K. Tappan, Hannah Lowery, Neven Tomic"
Lady Boss Takes on Vegas Bullies!,2024,7.6,(27),"Alicia Underwood, Skyla Lynne, Ellen Molina"
Resisting Mr. Lloyd: An Age Gap Romance,2024,7.8,(145),"Richard Sharrah, Finley Riter, Sarah Moliski"
The Call Boy I Met in Paris,2024,6.6,(574),"Connor Tuohy, Alyona, Amanda Glass"
The Virgin and the Billionaire,2024,6.7,(146),"Rebecca Stoughton, Aaron Russell, Lauren Bonham"
The Secret of my Billion-Dollar Marriage,2024,8.3,(78),"Kelsey Maskell, Alistair David Herz, Kasey Esser"
Mr. Hill's Adorable Wife,2024,7.1,(148),"Meg Bush, Jesse Morales, Sheila Ball"
Infatuated with the CEO,2024,7.9,(106),"Michael Cline, Haley Lohrli, Marc Herrmann"
His One and Only Love,2024,7.7,(123),"Autumn Noel, Jesse Morales, Circus-Szalewski"
Breaking the Ice,2024,7.0,(755),"James C. Burns, Nicole Mattox, Seth Edeen"
VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,2024–,5.7,(242),"Nana Nanato, Ayane Sakura, Hayden Daviau, Sarah Wiedenheft"
After Cancer I Turn Into a Badass,2024,8.8,(44),"Violet Bennett, Bradley Meccariello, Ruby Griffin"
Break My Heart Again,2024,8.3,(101),"Autumn Noel, Sam Myerson, Hannah Lowery"
"Baby, You Had It Coming",2024,6.7,(36),"Mia Wilson, Mike Jeffrey, Victoria Joliddie"
"Dear Husband, Delete My Number",2024,7.7,(201),"Sarah Noelle, Marc Herrmann, Sarah Moliski"
We Are Never Ever Getting Back Together,2024,8.7,(282),"Molly Anderson, Jarred Harper, Tali Chart"
The Return of My Drama Queen,2024,8.7,(85),"Kåius Härrisøn, Monroe Cline, Jake Hobbs"
